Date,Stock,Sector,Weight,Stock_Return,Weighted_Return,Portfolio_Return,NAV,Portfolio_Value,Holding_Value,Is_Rebalance,Expected_Sharpe,Solver
2026-04-21,TRGP,Energy,0.3475959665385482,0.004924166268858832,0.0017116203336205022,0.0007078825951343966,1.0007078825951343,100070.78825951343,34784.20236733997,True,0.2542962195996339,scipy_fallback
2026-04-21,MPC,Energy,0.11842717440291468,0.029095957884930135,0.0034457520788584817,0.0007078825951343966,1.0007078825951343,100070.78825951343,11851.100693846543,True,0.2542962195996339,scipy_fallback
2026-04-21,JNJ,Healthcare,0.11121919230982641,-0.019636820470699923,-0.0021839913122843105,0.0007078825951343966,1.0007078825951343,100070.78825951343,11129.792244030743,True,0.2542962195996339,scipy_fallback
2026-04-21,KO,ConsumerStaples,0.0980029901313939,-0.010333931850435185,-0.0010127562211566965,0.0007078825951343966,1.0007078825951343,100070.78825951343,9807.236474237903,True,0.2542962195996339,scipy_fallback
2026-04-21,WMT,ConsumerStaples,0.07475467661731686,0.013133351203142185,0.0009817794220925433,0.0007078825951343966,1.0007078825951343,100070.78825951343,7480.759415179915,True,0.2542962195996339,scipy_fallback
2026-04-21,LRCX,Technology,0.05,-0.018201942937792537,-0.0009100971468896269,0.0007078825951343966,1.0007078825951343,100070.78825951343,5003.539412975671,True,0.2542962195996339,scipy_fallback
2026-04-21,MS,Financials,0.05,-0.007289010946256225,-0.0003644505473128113,0.0007078825951343966,1.0007078825951343,100070.78825951343,5003.539412975671,True,0.2542962195996339,scipy_fallback
2026-04-21,INTC,Technology,0.05,0.008523671445973546,0.0004261835722986773,0.0007078825951343966,1.0007078825951343,100070.78825951343,5003.539412975671,True,0.2542962195996339,scipy_fallback
2026-04-21,JPM,Financials,0.05,-0.012587150870674635,-0.0006293575435337318,0.0007078825951343966,1.0007078825951343,100070.78825951343,5003.539412975671,True,0.2542962195996339,scipy_fallback
2026-04-21,AMGN,Healthcare,0.05,-0.015136000811172612,-0.0007568000405586306,0.0007078825951343966,1.0007078825951343,100070.78825951343,5003.539412975671,True,0.2542962195996339,scipy_fallback
2026-04-22,TRGP,Energy,0.28715978493114375,0.017537116339984227,0.005035954556502317,0.008591273019107884,1.0093052372268825,100930.52372268825,28983.18748519486,True,0.2942359622760933,scipy_fallback
2026-04-22,MO,ConsumerStaples,0.17799171441681083,0.008197979445912162,0.0014591724163316828,0.008591273019107884,1.0093052372268825,100930.52372268825,17964.796954387875,True,0.2942359622760933,scipy_fallback
2026-04-22,MPC,Energy,0.13489896868310938,0.0078057132557092235,0.0010529826680312504,0.008591273019107884,1.0093052372268825,100930.52372268825,13615.42355883675,True,0.2942359622760933,scipy_fallback
2026-04-22,INTC,Technology,0.07772242803773283,-0.014941223381318536,-0.001161268159050221,0.008591273019107884,1.0093052372268825,100930.52372268825,7844.565366847323,True,0.2942359622760933,scipy_fallback
2026-04-22,WMT,ConsumerStaples,0.07222710393120332,0.0029318761808205807,0.00021176092562554756,0.008591273019107884,1.0093052372268825,100930.52372268825,7289.919426749387,True,0.2942359622760933,scipy_fallback
2026-04-22,LRCX,Technology,0.05000000000000001,0.027789650211316186,0.0013894825105658095,0.008591273019107884,1.0093052372268825,100930.52372268825,5046.526186134413,True,0.2942359622760933,scipy_fallback
2026-04-22,JNJ,Healthcare,0.05000000000000001,-0.00026519747221598333,-1.325987361079917e-05,0.008591273019107884,1.0093052372268825,100930.52372268825,5046.526186134413,True,0.2942359622760933,scipy_fallback
2026-04-22,MS,Financials,0.05,0.009191343028095433,0.00045956715140477167,0.008591273019107884,1.0093052372268825,100930.52372268825,5046.5261861344125,True,0.2942359622760933,scipy_fallback
2026-04-22,JPM,Financials,0.05,6.385654138285624e-05,3.192827069142812e-06,0.008591273019107884,1.0093052372268825,100930.52372268825,5046.5261861344125,True,0.2942359622760933,scipy_fallback
2026-04-22,AMGN,Healthcare,0.05,0.0030737599247676606,0.00015368799623838303,0.008591273019107884,1.0093052372268825,100930.52372268825,5046.5261861344125,True,0.2942359622760933,scipy_fallback
