Date,Stock,Sector,Weight,Stock_Return,Weighted_Return,Portfolio_Return,NAV,Portfolio_Value,Holding_Value,Is_Rebalance,Expected_Sharpe,Solver
2026-09-11,TRV,Financials,0.19482136578139206,0.020785762050233858,0.004049510551433588,0.008932487776217876,1.3551204411067148,135512.04411067147,26400.64151346926,True,0.4410254308819377,scipy_fallback
2026-09-11,MPC,Energy,0.16309426109467035,0.00894444505362424,0.0014587876569227244,0.008932487776217876,1.3551204411067148,135512.04411067147,22101.23670365834,True,0.4410254308819377,scipy_fallback
2026-09-11,PSX,Energy,0.12365800734973512,0.003713556221472736,0.0004592109625285301,0.008932487776217876,1.3551204411067148,135512.04411067147,16757.149346615042,True,0.4410254308819377,scipy_fallback
2026-09-11,JPM,Financials,0.1217230032734768,0.007551797279588657,0.0009192274449840033,0.008932487776217876,1.3551204411067148,135512.04411067147,16494.932988878798,True,0.4410254308819377,scipy_fallback
2026-09-11,KO,ConsumerStaples,0.10333234365299446,0.0052373798802543,0.0005411907376277163,0.008932487776217876,1.3551204411067148,135512.04411067147,14002.777111163648,True,0.4410254308819377,scipy_fallback
2026-09-11,MRK,Healthcare,0.0887402633667573,-0.005390187284202486,-0.0004783266391962749,0.008932487776217876,1.3551204411067148,135512.04411067147,12025.37448374862,True,0.4410254308819377,scipy_fallback
2026-09-11,PM,ConsumerStaples,0.05463075548097383,0.0067976669499396625,0.0003713616809832509,0.008932487776217876,1.3551204411067148,135512.04411067147,7403.125346537034,True,0.4410254308819377,scipy_fallback
2026-09-11,MU,Technology,0.05,-0.0021996536130989286,-0.00010998268065494643,0.008932487776217876,1.3551204411067148,135512.04411067147,6775.602205533574,True,0.4410254308819377,scipy_fallback
2026-09-11,INTC,Technology,0.05,0.026116454889873797,0.0013058227444936899,0.008932487776217876,1.3551204411067148,135512.04411067147,6775.602205533574,True,0.4410254308819377,scipy_fallback
2026-09-11,ABBV,Healthcare,0.05,0.008313706341911864,0.0004156853170955932,0.008932487776217876,1.3551204411067148,135512.04411067147,6775.602205533574,True,0.4410254308819377,scipy_fallback
