Date,Portfolio_Return,Portfolio_Value,NAV,Holdings,Total_Weight,Cumulative_Return,Wealth_Gain_$
2026-04-21,-0.00284393109527579,99715.60689047242,0.9971560689047242,10,1.0,0.0,-284.3931095275766
2026-04-22,0.008890684872715358,100602.14692822716,1.0060214692822715,10,0.9999999999999999,0.008890684872715271,602.1469282271573
2026-04-23,0.014002893812893016,102010.86810901218,1.0201086810901219,10,1.0,0.023018074001804667,2010.8681090121827
2026-04-24,0.017831378607405215,103829.86252033406,1.0382986252033406,10,1.0,0.041259896601549384,3829.8625203340634
2026-04-27,0.005574064912714122,104408.61691390058,1.0440861691390058,10,1.0,0.0470639468562124,4408.61691390058
2026-04-28,0.014939510862997656,105968.43058047636,1.0596843058047636,10,1.0,0.06270657006452396,5968.430580476357
2026-04-29,0.018075648045941455,107883.87863562982,1.0788387863562983,10,1.0,0.08191568000111982,7883.878635629822
2026-04-30,0.028183773998871238,110924.45348921807,1.1092445348921807,10,1.0,0.11240814701210655,10924.453489218067
2026-05-01,0.0011463716033941296,111051.61413282012,1.1105161413282012,10,1.0,0.11368338012322554,11051.61413282012
2026-05-04,-0.0005594731604213505,110989.48373529135,1.1098948373529134,10,1.0,0.1130603041628393,10989.483735291346
2026-05-05,0.027275539534532427,114016.78178683062,1.1401678178683061,10,1.0,0.14341962449335144,14016.781786830616
2026-05-06,-0.007777719333034317,113129.99125883683,1.1312999125883683,10,1.0000000000000002,0.13452642757415867,13129.991258836832
2026-05-07,-0.009078715453782952,112102.9162589089,1.121029162589089,10,0.9999999999999999,0.12422638496341598,12102.916258908896
2026-05-08,0.034374211854206915,115956.36565186705,1.1595636565186704,10,1.0,0.1628707808922376,15956.365651867047
2026-05-11,0.020824137570501,118371.05696237684,1.1837105696237684,10,0.9999999999999999,0.18708656201025353,18371.05696237684
2026-05-12,-0.005513609780013656,117718.40514503853,1.1771840514503853,10,1.0,0.180541429932231,17718.40514503853
2026-05-13,0.021701612314346665,120273.08433575935,1.2027308433575936,10,1.0,0.2061610823656448,20273.084335759355
2026-05-14,-0.0010497300720963615,120146.83006226832,1.2014683006226832,10,0.9999999999999999,0.2048949388056931,20146.830062268316
2026-05-15,-0.009095040491091373,119054.0897779757,1.1905408977797571,10,1.0000000000000002,0.19393637054974433,19054.089777975707
2026-05-18,0.003479212708032418,119468.30428007447,1.1946830428007447,10,1.0,0.19809032914274294,19468.304280074473
2026-05-19,0.0037794160803022985,119919.82471035703,1.1991982471035703,10,1.0,0.20261841099835975,19919.824710357032
2026-05-20,0.005755770618700226,120610.05571402457,1.2061005571402457,10,1.0,0.20954040671389196,20610.055714024566
